tasks,type,matrix,time
4,hybrid,matrices/A_n1e6_d4.mtx,0.757776
2,hybrid,matrices/A_n1e6_d4.mtx,1.83785
4,hybrid,matrices/A_n2e6_d4.mtx,1.41257
4,hybrid,matrices/A_n1e6_d4.mtx,0.774667
4,hybrid,matrices/A_n3e6_d4.mtx,2.11848
4,hybrid,matrices/A_n2e6_d4.mtx,1.424
1,serial20,matrices/A_n1e6_d4.mtx,7.92796
4,hybrid,matrices/A_n5e6_d4.mtx,3.7508
2,hybrid,matrices/A_n3e6_d4.mtx,5.60648
2,hybrid,matrices/A_n1e6_d4.mtx,1.89099
4,hybrid,matrices/A_n3e6_d4.mtx,2.32154
1,hybrid,matrices/A_n3e6_d4.mtx,14.9268
2,hybrid,matrices/A_n2e6_d4.mtx,3.77798
1,serial20,matrices/A_n2e6_d4.mtx,16.1828
4,hybrid,matrices/A_n5e6_d4.mtx,3.97794
2,hybrid,matrices/A_n3e6_d4.mtx,5.67209
1,serial20,matrices/A_n3e6_d4.mtx,23.8775
1,hybrid,matrices/A_n5e6_d4.mtx,20.7594
2,hybrid,matrices/A_n5e6_d4.mtx,8.68486
2,hybrid,matrices/A_n5e6_d4.mtx,9.45139
1,serial20,matrices/A_n5e6_d4.mtx,38.7162
6,hybrid,matrices/A_n1e6_d4.mtx,0.560578
1,hybrid,matrices/A_n1e6_d4.mtx,4.07609
6,hybrid,matrices/A_n2e6_d4.mtx,0.968695
1,hybrid,matrices/A_n2e6_d4.mtx,7.97311
6,hybrid,matrices/A_n3e6_d4.mtx,1.48513
1,hybrid,matrices/A_n3e6_d4.mtx,12.2277
6,hybrid,matrices/A_n5e6_d4.mtx,2.55924
6,hybrid,matrices/A_n1e6_d4.mtx,0.548237
6,hybrid,matrices/A_n2e6_d4.mtx,1.08566
6,hybrid,matrices/A_n3e6_d4.mtx,1.35084
1,hybrid,matrices/A_n5e6_d4.mtx,20.7762
1,hybrid,matrices/A_n1e6_d4.mtx,4.01628
6,hybrid,matrices/A_n5e6_d4.mtx,2.47178
1,hybrid,matrices/A_n2e6_d4.mtx,8.21361
4,hybrid,matrices/A_n1e6_d4.mtx,0.770938
4,hybrid,matrices/A_n2e6_d4.mtx,1.44862
2,hybrid,matrices/A_n1e6_d4.mtx,1.84974
4,hybrid,matrices/A_n1e6_d4.mtx,0.77942
4,hybrid,matrices/A_n3e6_d4.mtx,2.24522
4,hybrid,matrices/A_n2e6_d4.mtx,1.45974
4,hybrid,matrices/A_n3e6_d4.mtx,2.24108
2,hybrid,matrices/A_n1e6_d4.mtx,1.86866
4,hybrid,matrices/A_n5e6_d4.mtx,3.90598
2,hybrid,matrices/A_n3e6_d4.mtx,5.57979
1,hybrid,matrices/A_n3e6_d4.mtx,15.5316
2,hybrid,matrices/A_n2e6_d4.mtx,3.76563
2,hybrid,matrices/A_n3e6_d4.mtx,5.57256
4,hybrid,matrices/A_n5e6_d4.mtx,3.88739
1,hybrid,matrices/A_n5e6_d4.mtx,21.6069
2,hybrid,matrices/A_n5e6_d4.mtx,9.5923
2,hybrid,matrices/A_n5e6_d4.mtx,9.61846
1,serial30,matrices/A_n1e6_d4.mtx,15.801
1,serial30,matrices/A_n2e6_d4.mtx,32.6272
1,serial30,matrices/A_n3e6_d4.mtx,47.9101
1,serial30,matrices/A_n5e6_d4.mtx,83.0517
6,hybrid,matrices/A_n1e6_d4.mtx,0.746722
1,hybrid,matrices/A_n1e6_d4.mtx,4.19964
6,hybrid,matrices/A_n2e6_d4.mtx,1.0258
1,hybrid,matrices/A_n2e6_d4.mtx,8.15188
6,hybrid,matrices/A_n3e6_d4.mtx,1.9136
5,hybrid,matrices/A_n1e6_d4.mtx,0.635696
3,hybrid,matrices/A_n2e6_d4.mtx,2.0692
1,hybrid,matrices/A_n3e6_d4.mtx,12.5641
6,hybrid,matrices/A_n5e6_d4.mtx,2.73439
5,hybrid,matrices/A_n2e6_d4.mtx,1.14495
1,hybrid,matrices/A_n1e6_d4.mtx,4.0247
6,hybrid,matrices/A_n1e6_d4.mtx,0.548854
3,hybrid,matrices/A_n3e6_d4.mtx,3.30505
5,hybrid,matrices/A_n3e6_d4.mtx,1.67912
6,hybrid,matrices/A_n2e6_d4.mtx,1.03752
1,hybrid,matrices/A_n2e6_d4.mtx,8.19873
6,hybrid,matrices/A_n3e6_d4.mtx,1.46813
3,hybrid,matrices/A_n5e6_d4.mtx,5.0763
5,hybrid,matrices/A_n5e6_d4.mtx,2.97309
1,hybrid,matrices/A_n3e6_d4.mtx,12.5145
5,hybrid,matrices/A_n1e6_d4.mtx,0.612886
3,hybrid,matrices/A_n2e6_d4.mtx,2.01383
1,hybrid,matrices/A_n1e6_d4.mtx,4.73562
6,hybrid,matrices/A_n5e6_d4.mtx,2.49463
5,hybrid,matrices/A_n2e6_d4.mtx,1.3028
6,hybrid,matrices/A_n1e6_d4.mtx,0.523758
